id;isbn;name;publish_year;copies
1;Table Fish;Dynamic programming;forecast;6904
2;Principal com;Director high-level Pass;Borders Sudan Mall;30968
3;ADP synthesiz;Representative parsing;calculating;58587
4;connecting;Soft;bleeding-edge Georgia Generic;75642
5;limeX;Bacon optical blockchains;Fish Port;63557
6;Soft transmit;Territory generate;deposit Cambridgeshire;11906
7;e-business in;Sweden Personal programming;Books transmitter;23182
8;compressing T;Dominica;input;33491
9;Nebraska Sout;e-tailers functionalities Supervisor;payment Toys Home;46751
10;Paradigm calc;quantify;Andorra blue SMS;96569
